Strategy,CAGR,Vol,Sharpe,Sortino,Max DD,Calmar,Win Rate,Beat SPY 5Y,Worst Mo,Best Mo
Baseline,0.46712144113801,0.30514526580016943,0.3833790390069209,0.6169370671742086,-0.5619315463699902,0.8312781942134375,0.6928838951310862,1.0,-0.24768604797949512,0.3586302901077057
1: +Trend Filter,0.514186766291354,0.25515848690060644,0.4787871797882388,0.9135123465416182,-0.20250928482896696,2.5390774883513125,0.599250936329588,1.0,-0.1557787994125875,0.3586302901077057
2: +Vol Weighted,0.42691164265743486,0.2807120664094371,0.38041070206638683,0.6135908553616782,-0.5145043213653888,0.8297532691746865,0.6704119850187266,1.0,-0.22917484533107318,0.271154550924377
3: +Risk-Adj Signal,0.30571648637565274,0.21667812065071346,0.35042159273211587,0.5741627943792005,-0.432128585745752,0.7074664728510339,0.6853932584269663,1.0,-0.15526495082401792,0.27979906278132
4: +Dual Momentum,0.46712144113801,0.30514526580016943,0.3833790390069209,0.6169370671742086,-0.5619315463699902,0.8312781942134375,0.6928838951310862,1.0,-0.24768604797949512,0.3586302901077057
5: +Multi-Lookback,0.5101956912366268,0.3164484419496982,0.39914651939451196,0.7096077719415701,-0.5392833119450365,0.9460624498030558,0.7153558052434457,1.0,-0.23727853460435164,0.4405234785580777
6: +Trend+VolW,0.47396015614827625,0.23573521296859778,0.4790047626937336,0.9130200867241632,-0.19439001756325974,2.4381918479637816,0.5805243445692884,1.0,-0.15563936275253348,0.271154550924377
7: +Trend+Dual,0.514186766291354,0.25515848690060644,0.4787871797882388,0.9135123465416182,-0.20250928482896696,2.5390774883513125,0.599250936329588,1.0,-0.1557787994125875,0.3586302901077057
8: ALL Combined,0.5183031328361425,0.24232360736172437,0.5037657915119049,1.0256270663921816,-0.17345857335134757,2.9880513993753306,0.6179775280898876,1.0,-0.1360743208236953,0.3636087929252568
9: K=10+Trend,0.43189475416660916,0.196362859159087,0.5191716161669454,1.0965026461747962,-0.1474641570281987,2.928811738868995,0.6142322097378277,1.0,-0.10402582229669703,0.25221767570175013
10: K=8+Trend+Dual,0.45710232790143857,0.21498339890157467,0.5031624924486496,1.0076723076401244,-0.15088599422550025,3.0294549885014224,0.6104868913857678,1.0,-0.1165344907921591,0.2895184181295164
SPY,0.11009970605263808,0.1447878873373971,0.17118747521403457,0.22525127156199243,-0.5078481839910353,0.21679649454960265,0.6726618705035972,0.0,-0.16518674472817763,0.126983651644325
