K,Sharpe,lo95,hi95,std
3,0.4289437305176213,0.33031753920446694,0.5391204927289174,0.05427985987953897
4,0.45984297950380804,0.3502209709140427,0.5767439631764337,0.05782294841671001
5,0.48313919113772624,0.3718149090888315,0.6024318747576137,0.05878422066353527
6,0.4890660357060402,0.37331401918593593,0.60471035288588,0.05884194522097138
7,0.48630395723479447,0.371060286949834,0.5986887676115603,0.05940528461900862
8,0.5066453332731901,0.4001008983322994,0.628752365752972,0.05723143722006504
9,0.5164261066928751,0.40765148496268666,0.6260841101883873,0.05781997979917837
10,0.5211674851827431,0.4128833023331878,0.6391827083689148,0.057316206092091156
11,0.5270902232224323,0.4198478035752407,0.6419324984794691,0.05739296087167188
12,0.5283681642850266,0.4142625827658209,0.652466029521001,0.06172836019019426
13,0.5415988220394831,0.4284795107813344,0.6629980223004408,0.060893084819526946
14,0.5330569401233322,0.4185936188998203,0.6614551012049505,0.061400923987023286
15,0.5253568345985091,0.4149412613921437,0.6348769997510753,0.05640291903704411
16,0.5107860178496083,0.39912367809128946,0.632150835590279,0.05826309179077689
17,0.5002214262978655,0.38861347241420857,0.6166971442212792,0.060218285468312996
18,0.489273276734411,0.3697678919502725,0.607942335040036,0.059299345326008814
19,0.48609594122493727,0.37546863982841333,0.5949636723592258,0.05745593693339669
20,0.4850683551127571,0.36326301982192144,0.6050475933355594,0.06089554702163343
